GEOID,year,median_income,population,median_gross_rent,median_house_value,unemployment_rate_in_pop,poverty_rate,MoveOutNum,MoveInNum,MovesDiff,Professional_Scientific_Technical,RetailTrade,Accommodation_FoodServices,Administrative _Support_WasteManagement_Remediation,Agriculture_Forestry_Fishing_Hunting,Arts_Entertainment_Recreation,Construction,EducationalServices,Finance_nsurance,HealthCare_SocialAssistance,Information,ManagementCompanies_Enterprises,Manufacturing,Other,PublicAdministration,RealEstate_Rental_Leasing,Transportation_Warehousing,Utilities,WholesaleTrade,Mining_Quarrying_Oil_Gas
90058,2011,12479,3484,703,186500,11.4,0.580941446613088,64,56,-8,0.0489076189419984,0.186536542087169,0.0186314738826661,0.1370744149939,0.00532327825219031,0.00820672063879339,0.0200731950759676,0.00133081956304758,0.0265054896306976,0.00709770433625374,0.00853942552955529,0.00310524564711101,0.163801707885106,0.0496839303537762,0.000776311411777753,0.0293889320173007,0.0514583564378396,0.000887213042031718,0.232560718642564,0.000110901630253965
90059,2011,15799,40209,893,296100,8.7,0.337984033425353,6,5,-1,0.0551286334781156,0.140661543601737,0.0300701637153358,0.215502839959906,0.00167056465085199,0.0173738723688607,0.0551286334781156,0.0213832275309054,0.0223855663214166,0.112930170397594,0.0136986301369863,0.000334112930170398,0.0253925826929502,0.144670898763782,0.00801871032408954,0.0237220180420982,0.0708319411961243,0.00100233879051119,0.0397594386902773,0.000334112930170398
90061,2011,17097,26952,1019,300300,8.3,0.285322054021965,18,13,-5,0.0595560368164591,0.139956686518679,0.0319436924742826,0.161884136437466,0.00189496480779643,0.0162425554953979,0.0511640498105035,0.0170546832701678,0.0197617758527342,0.0530590146183,0.0148890092041148,0.00135354629128316,0.0858148348673525,0.149702219815918,0.00297780184082296,0.0262587980508933,0.0768814293448836,,0.0896047644829453,
90062,2011,16498,30710,973,363800,8.4,0.263790296320417,10,6,-4,0.0709197894084856,0.146794673273459,0.0346856611954165,0.229173118612574,0.00154846701765252,0.0182719108082998,0.0681325487767111,0.0136265097553422,0.0269433261071539,0.0690616289873026,0.0244657788789099,0.00123877361412202,0.0182719108082998,0.175286466398266,0.00216785382471353,0.0219882316506658,0.0427376896872097,0.000929080210591514,0.0334468875812945,0.000309693403530505
90063,2011,16879,52883,922,330000,6.8,0.243556530454021,16,14,-2,0.0668185269552012,0.198177676537585,0.0387243735763098,0.187547456340167,0.00101240192356366,0.0179701341432549,0.0607441154138193,0.0151860288534548,0.0275879524171096,0.0415084788661098,0.0172108327005821,0.000253100480890914,0.04986079473551,0.128321943811693,0.00582131106049102,0.0311313591495824,0.0445456846368008,0.000759301442672741,0.0668185269552012,
90064,2011,41150,25633,1567,896800,4,0.112316154956501,101,89,-12,0.182844243792325,0.097686230248307,0.0277088036117382,0.192607223476298,0.00406320541760722,0.0345936794582393,0.0347629796839729,0.0128103837471783,0.0553611738148984,0.0749435665914221,0.0716704288939052,0.00406320541760722,0.0210496613995485,0.0685665914221219,0.00141083521444695,0.0651241534988713,0.0125282167042889,0.000225733634311512,0.0375282167042889,0.000451467268623025
90065,2011,24638,46844,987,503500,5.4,0.167726923405345,26,27,1,0.110786785193048,0.11888019105745,0.0265357569324665,0.262438636062094,0.00291893326257132,0.0302507629030118,0.0648799256998806,0.0123391269735969,0.0209632479766485,0.0402016717526868,0.0595727743133873,0.00145946663128566,0.0402016717526868,0.0874353190924771,0.00278625447790898,0.0388748839060634,0.0249436115165185,0.00053071513864933,0.0533368714342577,0.000663393923311662
90066,2011,36107,56210,1308,758800,5.6,0.118164027753069,80,68,-12,0.15289453899255,0.0838630305515686,0.0254938145034516,0.263071560385483,0.00341740140796938,0.0359510628118379,0.0483904039368464,0.0150365661950653,0.0341740140796938,0.0611031371744925,0.0757979632287609,0.00232383295741918,0.023101633517873,0.0806506732280774,0.000683480281593876,0.0455197867541522,0.0120292529560522,0.000205044084478163,0.0356093226710409,0.000683480281593876
90067,2011,61737,2468,2001,917700,2.9,0.0794165316045381,101,89,-12,0.244444444444444,0.0520665593129361,0.0201825013419216,0.165915190552872,0.00499194847020934,0.0429414922168545,0.0216854535695115,0.00413311862587225,0.107461084272678,0.051154052603328,0.11154052603328,0.0123456790123457,0.0137412775093935,0.0454106280193237,0.00182501341921632,0.0715512614063339,0.00568974771873323,0.000429414922168545,0.0209339774557166,0.00155662909286098
90068,2011,45261,22048,1355,977100,7,0.108399854862119,62,50,-12,0.133004408985933,0.0640352718874659,0.021205122821751,0.303380222548814,0.00451396178878858,0.070228847365106,0.0277136258660508,0.00892294772202394,0.029708167121562,0.0294982154104556,0.148225908041151,0.00146966197774512,0.021205122821751,0.0556372034432081,0.000839806844425782,0.0410455595213101,0.00682343061095948,0.000104975855553223,0.0319126600881797,0.000524879277766114
